city,location_name,sensor_id,parameter,value,timestamp,lat,lon
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T02:02:05Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T02:19:11Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T02:36:16Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T02:53:21Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T04:01:43Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T04:18:48Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T04:35:53Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T04:52:59Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T06:01:20Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T06:19:24Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T06:36:32Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T06:53:41Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T07:10:49Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T07:27:54Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T07:45:02Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T08:02:07Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T08:19:11Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T08:36:16Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T08:53:29Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T09:10:33Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T09:27:38Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T09:44:45Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T10:01:52Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T11:10:11Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T11:27:14Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T11:44:18Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T12:01:24Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T12:18:28Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T12:35:30Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T12:52:36Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T13:09:42Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T13:26:48Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T13:43:51Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T14:00:54Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T15:09:11Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T15:26:14Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T15:43:18Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T16:00:25Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T17:09:24Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T17:26:32Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T17:43:40Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T18:00:47Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T18:17:55Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T18:35:03Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T18:52:22Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T19:09:37Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T19:26:49Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T19:44:20Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T20:01:29Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T21:10:47Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T21:28:04Z,6.066,8.34
Cross River State,"Ogada, Obubra Local Government Area (LGA)",7466350,pm25,0.0,2026-03-23T21:45:12Z,6.066,8.34
Cross River State,Calabar,7466400,pm25,16.28,2026-03-23T02:08:15Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,14.97,2026-03-23T02:25:52Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,16.38,2026-03-23T02:43:26Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,16.72,2026-03-23T03:00:59Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,24.73,2026-03-23T04:11:33Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,18.58,2026-03-23T04:29:16Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,23.33,2026-03-23T04:47:49Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,13.94,2026-03-23T05:58:10Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,17.72,2026-03-23T06:15:46Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,15.71,2026-03-23T06:33:20Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,12.11,2026-03-23T06:50:51Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,14.97,2026-03-23T07:08:31Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,16.01,2026-03-23T07:26:04Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,11.57,2026-03-23T07:43:38Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,12.1,2026-03-23T08:01:14Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,15.74,2026-03-23T08:18:51Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,12.0,2026-03-23T08:36:29Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,12.92,2026-03-23T08:54:07Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,10.74,2026-03-23T09:11:43Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,17.88,2026-03-23T09:29:19Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,19.53,2026-03-23T09:46:58Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,12.45,2026-03-23T10:57:19Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,11.06,2026-03-23T11:14:55Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,11.2,2026-03-23T11:33:12Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,10.48,2026-03-23T11:50:43Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,10.29,2026-03-23T12:08:07Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,11.39,2026-03-23T12:25:30Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,11.29,2026-03-23T12:42:54Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,9.98,2026-03-23T13:00:18Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,14.87,2026-03-23T13:17:51Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,15.15,2026-03-23T13:35:15Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,14.74,2026-03-23T13:52:39Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,10.61,2026-03-23T15:02:16Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,12.97,2026-03-23T15:19:40Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,10.35,2026-03-23T15:37:04Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,15.01,2026-03-23T15:54:28Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,26.62,2026-03-23T17:04:10Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,39.34,2026-03-23T17:21:35Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,23.13,2026-03-23T17:39:12Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,26.02,2026-03-23T17:57:34Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,26.33,2026-03-23T18:14:59Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,19.73,2026-03-23T18:32:28Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,16.45,2026-03-23T18:49:53Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,18.59,2026-03-23T19:07:19Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,14.87,2026-03-23T19:24:44Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,19.13,2026-03-23T19:42:10Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,25.0,2026-03-23T19:59:34Z,5.02529,8.34843
Cross River State,Calabar,7466400,pm25,36.0,2026-03-23T21:09:40Z,5.02529,8.34843
